entry,module,gene,assessment,role,evidence,context,limitation,evidence_location,review_note,citations,identifiers,source_urls
14,FOXO,Atg8a,Context-dependent,Autophagy protein,"FOXO–Activin signaling affects Atg8a expression. Smox binds its promoter, while dFOXO binding is not detected in that assay.",D. melanogaster adult muscle.,Supports an indirect relationship. Do not describe the cited study as proving direct dFOXO binding to Atg8a.,Autophagy results and Fig. S6E.,Describe as associated with the process. Do not call a validated direct transcriptional target.,Bai H et al. (2013),DOI: 10.1371/journal.pgen.1003941,https://pubmed.ncbi.nlm.nih.gov/24244197/
15,DNA replication,timeout,Broader label,Timeless2; chromosome stability,timeless2/timeout disruption causes chromosome-stability defects in flies.,D. melanogaster; mutant and RNAi analyses.,The fly evidence is broader than core DNA synthesis. timeout is distinct from circadian timeless/tim.,Abstract and chromosome-stability results.,A genome-maintenance or replication-and-repair heading fits better than a replication-only claim.,Benna C et al. (2010),DOI: 10.1016/j.cub.2009.12.048,https://pubmed.ncbi.nlm.nih.gov/20153199/
16,DNA replication,DNAlig3,Annotation support,DNA ligase 3 (CG17227),The gene record predicts DNA-ligase activity and repair/lagging-strand functions.,"D. melanogaster annotation, including orthology-based predictions.",A gene-specific fly experiment demonstrating its replication role was not verified. Nuclear versus mitochondrial function should not be assumed.,Gene summary and evidence annotations.,Biological plausibility is documented. Obtain a gene-specific primary source before claiming experimental validation.,NCBI Gene / FlyBase: DNAlig3,See source URL,https://www.ncbi.nlm.nih.gov/gene/41518
17,DNA replication,PolD2,Supported,DNA polymerase delta structural subunit; Pol31,Pol31 is localized and genetically tested with the Pol delta complex in fly embryos.,D. melanogaster; genetic interaction and protein localization.,PolD2 is the current symbol corresponding to Pol31. This is not merely evidence from the human POLD2 gene.,"Figs. 3–4, genetic-interaction results and Methods (CG12018).",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ji J et al. (2019),DOI: 10.1371/journal.pgen.1008169,https://pubmed.ncbi.nlm.nih.gov/31100062/
18,DNA replication,Top1,Supported,DNA topoisomerase I,Fly Top1 mutations establish an essential role for a DNA-topology enzyme involved in multiple DNA processes.,D. melanogaster; cloning and mutagenesis.,Top1 also functions in transcription and recombination. It is not specific to replication.,Abstract and mutant characterization.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Lee MP et al. (1993),DOI: 10.1073/pnas.90.14.6656,https://pubmed.ncbi.nlm.nih.gov/8393572/
19,DNA replication,DNAlig1,Annotation support,DNA ligase 1,Fly ligase-I enzymology and current gene annotation support a ligation role associated with replication.,D. melanogaster embryo protein biochemistry plus gene annotation.,The older purification did not genetically assign the modern locus. Okazaki-fragment processing is annotated as predicted in the current gene record.,Purified ligase-I activity; NCBI Gene 37791 evidence fields.,Retain the distinction between biochemical/annotation support and direct locus-specific replication experiments.,Takahashi M et al. (1987); NCBI Gene / FlyBase: DNAlig1,DOI: 10.1016/0014-5793(87)81520-x; See source URL,"https://pubmed.ncbi.nlm.nih.gov/3104089/
https://www.ncbi.nlm.nih.gov/gene/37791"
20,DNA replication,PolE2,Supported,DNA polymerase epsilon p58 subunit,PolE2-null flies show reduced DNA synthesis and endoreplication defects.,D. melanogaster eye discs and salivary glands.,"A polymerase subunit with additional cell-cycle phenotypes, not a measurement of replication rate in the present RNA-seq.",Abstract and BrdU/endoreplication results.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Sahashi R et al. (2013),PMID: 24224125,https://pubmed.ncbi.nlm.nih.gov/24224125/
21,DNA replication,PCNA2,Broader label,Second PCNA-like sliding clamp,"PCNA2 forms a nuclear trimer, associates with Pol delta/epsilon and responds to DNA-damaging treatments.",D. melanogaster; biochemical and cell-based experiments.,The authors propose a DNA-repair role. PCNA2 must not be equated with the canonical mus209/PCNA gene.,Abstract and DNA-damage/chromatin-association experiments.,"Use replication and repair, with PCNA2 distinguished from canonical PCNA.",Ruike T et al. (2006),DOI: 10.1111/j.1742-4658.2006.05504.x,https://pubmed.ncbi.nlm.nih.gov/17087725/
22,DNA replication,Cdc45,Supported,Cdc45 component of CMG,Cdc45 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Moyer SE et al. (2006),DOI: 10.1073/pnas.0602400103,https://pubmed.ncbi.nlm.nih.gov/16798881/
23,DNA replication,Mcm6,Supported,Mcm2–7 helicase subunit 6,Mcm6 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Moyer SE et al. (2006),DOI: 10.1073/pnas.0602400103,https://pubmed.ncbi.nlm.nih.gov/16798881/
24,DNA replication,Cdc6,Supported,Replication-origin co-loader,Fly Cdc6 assembles with ORC and DNA in a structurally characterized origin-binding complex.,Purified D. melanogaster proteins; cryo-EM and biochemical assays.,"A replication-initiation factor, not evidence that origin firing increases in the present samples.",Structures and assembly of DmORC–DNA–Cdc6.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Schmidt JM et al. (2020),DOI: 10.1038/s41467-020-18067-7,https://pubmed.ncbi.nlm.nih.gov/32848132/
25,DNA replication,Mcm2,Supported,Mcm2–7 helicase subunit 2,Mcm2 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Moyer SE et al. (2006),DOI: 10.1073/pnas.0602400103,https://pubmed.ncbi.nlm.nih.gov/16798881/
26,DNA replication,PolE1,Supported,DNA polymerase epsilon catalytic p255 subunit,PolE1 knockdown impairs DNA synthesis and endoreplication in flies.,D. melanogaster eye discs and salivary glands.,Catalytic and noncatalytic regions have different requirements across cell-cycle contexts.,RNAi and domain-rescue results.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Suyari O et al. (2012),DOI: 10.1016/j.gene.2011.12.056,https://pubmed.ncbi.nlm.nih.gov/22245183/
27,DNA replication,DNAlig4,Broader label,DNA ligase IV; double-strand break repair,Ligase-IV mutants are defective in repair of radiation-induced DNA double-strand breaks.,D. melanogaster; damage-sensitivity and repair genetics.,"Supports DNA repair, not membership in the core replication machinery.",Radiation-induced double-strand-break repair results.,Use a replication-and-repair heading rather than remove a biologically relevant repair gene.,Gorski MM et al. (2003),DOI: 10.1093/genetics/165.4.1929,https://pubmed.ncbi.nlm.nih.gov/14704177/
28,DNA replication,Prim2,Supported,Large DNA-primase subunit (60 kDa),The fly large-primase-subunit gene was cloned and related to the purified primase complex.,D. melanogaster; molecular cloning and protein identity.,An accessory primase subunit. Do not call it the small catalytic Prim1 subunit.,"Cloning, mapping and sequence characterization.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Huikeshoven H et al. (1999),DOI: 10.1016/s0167-4781(99)00063-9,https://pubmed.ncbi.nlm.nih.gov/10366721/
29,DNA replication,Mcm5,Supported,Mcm2–7 helicase subunit 5,Mcm5 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Moyer SE et al. (2006),DOI: 10.1073/pnas.0602400103,https://pubmed.ncbi.nlm.nih.gov/16798881/
30,DNA replication,RfC4,Supported,Replication factor C subunit 4,RfC4 mutants show replication-associated and DNA-damage checkpoint defects.,D. melanogaster larval neuroblasts.,Correct fly locus is CG14999. Subunit numbering differs across species.,Mutant phenotypes and replication-inhibitor experiments.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Krause SA et al. (2001),DOI: 10.1128/mcb.21.15.5156-5168.2001,https://pubmed.ncbi.nlm.nih.gov/11438670/
31,DNA replication,Orc4,Supported,Origin recognition complex subunit 4,"Orc4 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Chesnokov I et al. (1999),DOI: 10.1101/gad.13.10.1289,https://pubmed.ncbi.nlm.nih.gov/10346817/
32,DNA replication,PolD1,Supported,DNA polymerase delta catalytic subunit; PolD,The fly PolD catalytic subunit is localized and genetically tested in the Pol delta replication complex.,D. melanogaster embryos; localization and genetic interactions.,Has replication and genome-maintenance roles. Transcript abundance is not enzyme activity.,Figs. 3–4 and PolD genetic-interaction results.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ji J et al. (2019),DOI: 10.1371/journal.pgen.1008169,https://pubmed.ncbi.nlm.nih.gov/31100062/
33,DNA replication,RnrL,Supported,Ribonucleotide reductase large subunit,The large RNR-subunit gene was cloned and examined in the fly G1/S expression program.,D. melanogaster developmental expression.,Provides nucleotide precursors for DNA synthesis. It is not a replisome subunit or replication-specific activity readout.,Cloning and developmental expression of DmRNR1/DmRNR2.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Duronio RJ et al. (1994),DOI: 10.1242/dev.120.6.1503,https://pubmed.ncbi.nlm.nih.gov/8050359/
34,DNA replication,Orc1,Supported,Origin recognition complex subunit 1,"Orc1 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Chesnokov I et al. (1999),DOI: 10.1101/gad.13.10.1289,https://pubmed.ncbi.nlm.nih.gov/10346817/
35,DNA replication,RPA1,Supported,Replication protein A large subunit; RpA-70,Purified fly RPA binds single-stranded DNA through its large subunit and stimulates DNA polymerase alpha.,D. melanogaster embryo protein biochemistry.,RPA also functions in repair and replication stress. RPA1 is the former RpA-70 locus.,Purified dRP-A subunit and DNA-binding assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Marton RF et al. (1994),DOI: 10.1016/0014-5793(94)80488-5,https://pubmed.ncbi.nlm.nih.gov/8143866/
36,DNA replication,Mcm7,Supported,Mcm2–7 helicase subunit 7,Mcm7 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Moyer SE et al. (2006),DOI: 10.1073/pnas.0602400103,https://pubmed.ncbi.nlm.nih.gov/16798881/
37,DNA replication,Orc5,Supported,Origin recognition complex subunit 5,"Orc5 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Chesnokov I et al. (1999),DOI: 10.1101/gad.13.10.1289,https://pubmed.ncbi.nlm.nih.gov/10346817/
38,DNA replication,PolA1,Supported,DNA polymerase alpha catalytic subunit,The intact fly alpha–primase preparation contains the catalytic polymerase polypeptide.,D. melanogaster embryo protein purification.,The historical paper uses molecular-weight/subunit terminology rather than the modern PolA1 symbol.,Purification and polymerase activity.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Kaguni LS et al. (1983),DOI: 10.1073/pnas.80.8.2221,https://pubmed.ncbi.nlm.nih.gov/6403945/
39,DNA replication,RnrS,Supported,Ribonucleotide reductase small subunit,The small RNR-subunit gene was cloned and examined in the fly G1/S expression program.,D. melanogaster developmental expression.,Provides nucleotide precursors for DNA synthesis. It is not a replisome subunit or replication-specific activity readout.,Cloning and developmental expression of DmRNR1/DmRNR2.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Duronio RJ et al. (1994),DOI: 10.1242/dev.120.6.1503,https://pubmed.ncbi.nlm.nih.gov/8050359/
40,DNA replication,Orc6,Supported,Origin recognition complex subunit 6,"Orc6 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Chesnokov I et al. (1999),DOI: 10.1101/gad.13.10.1289,https://pubmed.ncbi.nlm.nih.gov/10346817/
41,DNA replication,RfC3,Annotation support,Replication factor C subunit 3,Current annotation assigns RfC3 to the RFC clamp-loader complex.,D. melanogaster gene CG5313; conserved-function annotation.,A primary fly assay establishing this subunit’s replication function was not verified. RfC4 mutant evidence cannot be transferred wholesale to RfC3.,Gene summary and inferred RFC-complex annotation.,Keep annotation support explicit while checking a subunit-specific experimental source.,NCBI Gene / FlyBase: RfC3,See source URL,https://www.ncbi.nlm.nih.gov/gene/34423
42,DNA replication,Mcm10,Supported,Replication-initiation-associated protein,Fly Mcm10 interacts with replication factors and its depletion reduces cellular DNA content.,D. melanogaster KC cells; RNAi and interaction assays.,Mcm10 is not one of the six Mcm2–7 helicase subunits.,Interaction assays and depletion/DNA-content results.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Christensen TW et al. (2003),DOI: 10.1091/mbc.e02-11-0706,https://pubmed.ncbi.nlm.nih.gov/12808023/
43,DNA replication,Orc2,Supported,Origin recognition complex subunit 2,"Orc2 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Chesnokov I et al. (1999),DOI: 10.1101/gad.13.10.1289,https://pubmed.ncbi.nlm.nih.gov/10346817/
44,DNA replication,Prim1,Supported,Small catalytic DNA-primase subunit (50 kDa),Recombinant fly Prim1 synthesizes RNA primers.,D. melanogaster protein expressed and assayed biochemically.,Distinguish the catalytic Prim1 subunit from Prim2.,Functional analysis of the overexpressed 50-kDa primase.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Bakkenist CJ et al. (1994),DOI: 10.1016/s0021-9258(18)47084-6,https://pubmed.ncbi.nlm.nih.gov/7929411/
45,DNA replication,PolA2,Supported,DNA polymerase alpha accessory subunit (73 kDa),The 73-kDa fly alpha–primase subunit was cloned from the purified enzyme.,D. melanogaster; cloning and protein characterization.,No catalytic activity was assigned to this accessory subunit in the cited study.,Cloning and characterization of the 73-kDa subunit.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Cotterill S et al. (1992),DOI: 10.1093/nar/20.16.4325,https://pubmed.ncbi.nlm.nih.gov/1508723/
46,Spargel,COX4,Context-dependent,Cytochrome-c oxidase subunit 4,COX4 is explicitly measured in a published spargel-overexpression study of mitochondrial gene expression.,D. melanogaster larvae/adults; mitochondrial-disease model.,The study reports limited overall transcriptional effects. Inclusion as a tested marker does not prove direct or universal Srl regulation.,qRT-PCR gene list and mitochondrial-expression analysis.,A selected mitochondrial-function label is safer than a validated Spargel-target label.,George J et al. (2019),DOI: 10.1242/bio.042135,https://pubmed.ncbi.nlm.nih.gov/31292108/
47,Spargel,ERR,Not verified,Estrogen-related receptor; metabolic transcription factor,Fly ERR mutants establish a role in developmental carbohydrate metabolism.,D. melanogaster developmental genetic study.,A fly Srl–ERR interaction or Srl-dependent regulation of ERR was not verified. Mammalian PGC-1/ERR interactions are not sufficient.,Mutant metabolic and developmental phenotypes.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Tennessen JM et al. (2011),DOI: 10.1016/j.cmet.2011.01.005,https://pubmed.ncbi.nlm.nih.gov/21284981/
48,Spargel,Scox,Not verified,Cytochrome-c oxidase assembly factor,Fly scox mutations affect cytochrome-c oxidase assembly/activity and energy-dependent processes.,D. melanogaster genetic and functional characterization.,Strong mitochondrial relevance does not establish Scox as a Srl-regulated target.,scox mutant COX-assembly and activity results.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Porcelli D et al. (2010),DOI: 10.1016/j.mito.2010.04.002,https://pubmed.ncbi.nlm.nih.gov/20388558/
49,Spargel,mtTFB2,Not verified,Mitochondrial transcription factor B2,Knockdown and overexpression alter mitochondrial transcripts and mtDNA copy number.,D. melanogaster Schneider cells.,"The experiment establishes mitochondrial function, not regulation by Srl.",RNAi and overexpression experiments.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Matsushima Y et al. (2004),DOI: 10.1074/jbc.m401643200,https://pubmed.ncbi.nlm.nih.gov/15060065/
50,Spargel,ATPsynbeta,Not verified,Mitochondrial ATP-synthase beta subunit,A fly muscle study uses ATPsynbeta RNAi to perturb mitochondrial energy function.,D. melanogaster adult muscle; host-pathogen metabolic study.,A specific Srl-dependent relationship was not verified. ATPsynbeta is not ATPsynF or blw/ATP-synthase alpha.,Muscle ATPsynbeta RNAi experiments and reagent table.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Zhao X et al. (2021),DOI: 10.1016/j.cmet.2021.10.003,https://pubmed.ncbi.nlm.nih.gov/34710355/
51,Spargel,mRpL4,Not verified,Mitochondrial ribosomal protein L4,A primary fly study characterizes mRpL4 and an additional role in Notch signaling.,D. melanogaster wing development; genetic and physical interactions.,Mitochondrial-ribosome identity does not establish Srl regulation. Its extra-mitochondrial roles argue against an exclusive pathway assignment.,mRpL4 genetic and interaction experiments.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Mo D et al. (2023),DOI: 10.15252/embr.202255764,https://pubmed.ncbi.nlm.nih.gov/37009823/
52,Spargel,srl,Supported,Spargel; PGC-1-family transcriptional coactivator,"srl mutants alter mitochondrial gene expression and respiration, including insulin-responsive functions.",D. melanogaster larval fat body.,The regulator’s own transcript is not a direct readout of its activity. Effects differ by tissue and condition.,"Mutant, respiration and insulin-response experiments.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Tiefenböck SK et al. (2010),DOI: 10.1038/emboj.2009.330,https://pubmed.ncbi.nlm.nih.gov/19910925/
53,AMPK,Sesn,Supported,Sestrin; AMPK–TOR feedback regulator,Fly Sestrin has experimental links to AMPK activation and TOR restraint. AMPK activation rescues dSesn phenotypes.,D. melanogaster; genetics and signaling.,Sesn is a supported pathway-associated original member. It need not be removed merely because it is not an AMPK subunit.,AMPK/TOR rescue and signaling experiments.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Lee JH et al. (2010),DOI: 10.1126/science.1182228,https://pubmed.ncbi.nlm.nih.gov/20203043/
54,AMPK,FASN3,Not verified,Fatty-acid synthase isoform 3,Isoform-specific fly work places FASN3 in specialized fatty-acid/hydrocarbon metabolism.,D. melanogaster; oenocyte and lipid-metabolism experiments.,A specific canonical AMPK relationship was not verified. Evidence for FASN1 or mammalian FASN cannot be transferred automatically to this isoform.,Isoform-specific FASN perturbations in hydrocarbon/pheromone synthesis.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Wicker-Thomas C et al. (2015),DOI: 10.1194/jlr.m060368,https://pubmed.ncbi.nlm.nih.gov/26353752/
55,AMPK,Sirt1,Context-dependent,Sir2/Sirt1; NAD-dependent deacetylase,"A fly exercise/Atg2 study reports coordinated AMPK, Sirt1 and PGC-1alpha expression changes.",Aging male D. melanogaster muscle.,"This supports a published context-specific association, not a demonstrated direct AMPK-to-Sirt1 regulatory edge.",Abstract and expression outcomes under Atg2/exercise interventions.,Describe as associated with the process. Do not call a validated direct transcriptional target.,Wang JF et al. (2023),DOI: 10.1096/fj.202301312r,https://pubmed.ncbi.nlm.nih.gov/37773768/
56,AMPK,Atg1,Supported,Autophagy-initiating kinase,Atg1 is necessary for key effects of neuronal AMPK upregulation and can reproduce those effects.,"Adult D. melanogaster brain, intestine and aging.",Functional downstream evidence. Do not infer a direct phosphorylation mechanism from this study alone.,Atg1 necessity/sufficiency and AMPK-induced autophagy.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ulgherait M et al. (2014),DOI: 10.1016/j.celrep.2014.08.006,https://pubmed.ncbi.nlm.nih.gov/25199830/
57,AMPK,bmm,Not verified,Brummer; triglyceride lipase,The strongest gene-specific fly evidence reviewed links bmm to SIK3–HDAC4–FOXO regulation.,D. melanogaster fat body.,SIK3 is AMPK-related but distinct from canonical AMPK. Direct canonical AMPK regulation of Bmm was not verified in this audit.,FOXO/bmm regulation in the SIK3 study.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Wang B et al. (2011),DOI: 10.1016/j.cell.2011.04.013,https://pubmed.ncbi.nlm.nih.gov/21565616/
58,AMPK,Atg13,Context-dependent,Atg1-complex autophagy regulator,"Atg13 forms a functional fly complex with Atg1, an experimentally supported AMPK effector.",D. melanogaster; autophagy genetics and protein interaction.,"The connection is indirect across two studies. The Atg13 paper establishes TOR/Atg1 regulation, not direct AMPK regulation.",Atg1–Atg13 complex experiments and independent AMPK–Atg1 study.,Describe as associated with the process. Do not call a validated direct transcriptional target.,Chang YY et al. (2009); Ulgherait M et al. (2014),DOI: 10.1091/mbc.e08-12-1250; DOI: 10.1016/j.celrep.2014.08.006,"https://pubmed.ncbi.nlm.nih.gov/19225150/
https://pubmed.ncbi.nlm.nih.gov/25199830/"
