original_module,gene,display_module,shown_in_revised_figure,audit_assessment,decision_reason,biological_role,published_evidence,experimental_context,interpretation_limit,evidence_location,citation,source_urls
FOXO,Sesn,FOXO-associated genes,true,Supported,Retained with individual experimental publication support.,Sestrin; stress and nutrient feedback,"Chronic TOR activation induces dSesn through ROS, JNK and FoxO.",D. melanogaster; genetic and signaling experiments.,"A feedback-regulated gene, not a specific readout of FOXO activity from RNA abundance alone.","Abstract and Results, ROS/JNK/FoxO-dependent dSesn induction.",Lee JH et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20203043/
FOXO,bmm,FOXO-associated genes,true,Supported,Retained with individual experimental publication support.,Brummer; triglyceride lipase,The SIK3–HDAC4 study links FOXO to bmm promoter regulation and lipolysis.,D. melanogaster fat body; feeding and fasting.,The studied upstream kinase is SIK3. Membership in the AMPK kinase family is not the same as canonical AMPK.,"Results, FOXO-dependent bmm expression and promoter association.",Wang B et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21565616/
FOXO,Atg8a,FOXO-associated genes,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Autophagy protein,"FOXO–Activin signaling affects Atg8a expression. Smox binds its promoter, while dFOXO binding is not detected in that assay.",D. melanogaster adult muscle.,Supports an indirect relationship. Do not describe the cited study as proving direct dFOXO binding to Atg8a.,Autophagy results and Fig. S6E.,Bai H et al. (2013),https://pubmed.ncbi.nlm.nih.gov/24244197/
DNA replication,timeout,DNA replication/genome maintenance,true,Broader label,Retained under the broader functional heading supported by the experiment.,Timeless2; chromosome stability,timeless2/timeout disruption causes chromosome-stability defects in flies.,D. melanogaster; mutant and RNAi analyses.,The fly evidence is broader than core DNA synthesis. timeout is distinct from circadian timeless/tim.,Abstract and chromosome-stability results.,Benna C et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20153199/
DNA replication,DNAlig3,DNA replication/genome maintenance,false,Annotation support,Exact-gene experimental replication evidence not verified; annotation alone does not meet this figure revision criterion.,DNA ligase 3 (CG17227),The gene record predicts DNA-ligase activity and repair/lagging-strand functions.,"D. melanogaster annotation, including orthology-based predictions.",A gene-specific fly experiment demonstrating its replication role was not verified. Nuclear versus mitochondrial function should not be assumed.,Gene summary and evidence annotations.,NCBI Gene / FlyBase: DNAlig3,https://www.ncbi.nlm.nih.gov/gene/41518
DNA replication,PolD2,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,DNA polymerase delta structural subunit; Pol31,Pol31 is localized and genetically tested with the Pol delta complex in fly embryos.,D. melanogaster; genetic interaction and protein localization.,PolD2 is the current symbol corresponding to Pol31. This is not merely evidence from the human POLD2 gene.,"Figs. 3–4, genetic-interaction results and Methods (CG12018).",Ji J et al. (2019),https://pubmed.ncbi.nlm.nih.gov/31100062/
DNA replication,Top1,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,DNA topoisomerase I,Fly Top1 mutations establish an essential role for a DNA-topology enzyme involved in multiple DNA processes.,D. melanogaster; cloning and mutagenesis.,Top1 also functions in transcription and recombination. It is not specific to replication.,Abstract and mutant characterization.,Lee MP et al. (1993),https://pubmed.ncbi.nlm.nih.gov/8393572/
DNA replication,DNAlig1,DNA replication/genome maintenance,false,Annotation support,Exact-gene experimental replication evidence not verified; annotation alone does not meet this figure revision criterion.,DNA ligase 1,Fly ligase-I enzymology and current gene annotation support a ligation role associated with replication.,D. melanogaster embryo protein biochemistry plus gene annotation.,The older purification did not genetically assign the modern locus. Okazaki-fragment processing is annotated as predicted in the current gene record.,Purified ligase-I activity; NCBI Gene 37791 evidence fields.,Takahashi M et al. (1987); NCBI Gene / FlyBase: DNAlig1,"https://pubmed.ncbi.nlm.nih.gov/3104089/
https://www.ncbi.nlm.nih.gov/gene/37791"
DNA replication,PolE2,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,DNA polymerase epsilon p58 subunit,PolE2-null flies show reduced DNA synthesis and endoreplication defects.,D. melanogaster eye discs and salivary glands.,"A polymerase subunit with additional cell-cycle phenotypes, not a measurement of replication rate in the present RNA-seq.",Abstract and BrdU/endoreplication results.,Sahashi R et al. (2013),https://pubmed.ncbi.nlm.nih.gov/24224125/
DNA replication,PCNA2,DNA replication/genome maintenance,true,Broader label,Retained under the broader functional heading supported by the experiment.,Second PCNA-like sliding clamp,"PCNA2 forms a nuclear trimer, associates with Pol delta/epsilon and responds to DNA-damaging treatments.",D. melanogaster; biochemical and cell-based experiments.,The authors propose a DNA-repair role. PCNA2 must not be equated with the canonical mus209/PCNA gene.,Abstract and DNA-damage/chromatin-association experiments.,Ruike T et al. (2006),https://pubmed.ncbi.nlm.nih.gov/17087725/
DNA replication,Cdc45,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Cdc45 component of CMG,Cdc45 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/
DNA replication,Mcm6,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 6,Mcm6 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/
DNA replication,Cdc6,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Replication-origin co-loader,Fly Cdc6 assembles with ORC and DNA in a structurally characterized origin-binding complex.,Purified D. melanogaster proteins; cryo-EM and biochemical assays.,"A replication-initiation factor, not evidence that origin firing increases in the present samples.",Structures and assembly of DmORC–DNA–Cdc6.,Schmidt JM et al. (2020),https://pubmed.ncbi.nlm.nih.gov/32848132/
DNA replication,Mcm2,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 2,Mcm2 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/
DNA replication,PolE1,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,DNA polymerase epsilon catalytic p255 subunit,PolE1 knockdown impairs DNA synthesis and endoreplication in flies.,D. melanogaster eye discs and salivary glands.,Catalytic and noncatalytic regions have different requirements across cell-cycle contexts.,RNAi and domain-rescue results.,Suyari O et al. (2012),https://pubmed.ncbi.nlm.nih.gov/22245183/
DNA replication,DNAlig4,DNA replication/genome maintenance,true,Broader label,Retained under the broader functional heading supported by the experiment.,DNA ligase IV; double-strand break repair,Ligase-IV mutants are defective in repair of radiation-induced DNA double-strand breaks.,D. melanogaster; damage-sensitivity and repair genetics.,"Supports DNA repair, not membership in the core replication machinery.",Radiation-induced double-strand-break repair results.,Gorski MM et al. (2003),https://pubmed.ncbi.nlm.nih.gov/14704177/
DNA replication,Prim2,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Large DNA-primase subunit (60 kDa),The fly large-primase-subunit gene was cloned and related to the purified primase complex.,D. melanogaster; molecular cloning and protein identity.,An accessory primase subunit. Do not call it the small catalytic Prim1 subunit.,"Cloning, mapping and sequence characterization.",Huikeshoven H et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10366721/
DNA replication,Mcm5,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 5,Mcm5 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/
DNA replication,RfC4,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Replication factor C subunit 4,RfC4 mutants show replication-associated and DNA-damage checkpoint defects.,D. melanogaster larval neuroblasts.,Correct fly locus is CG14999. Subunit numbering differs across species.,Mutant phenotypes and replication-inhibitor experiments.,Krause SA et al. (2001),https://pubmed.ncbi.nlm.nih.gov/11438670/
DNA replication,Orc4,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 4,"Orc4 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/
DNA replication,PolD1,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,DNA polymerase delta catalytic subunit; PolD,The fly PolD catalytic subunit is localized and genetically tested in the Pol delta replication complex.,D. melanogaster embryos; localization and genetic interactions.,Has replication and genome-maintenance roles. Transcript abundance is not enzyme activity.,Figs. 3–4 and PolD genetic-interaction results.,Ji J et al. (2019),https://pubmed.ncbi.nlm.nih.gov/31100062/
DNA replication,RnrL,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Ribonucleotide reductase large subunit,The large RNR-subunit gene was cloned and examined in the fly G1/S expression program.,D. melanogaster developmental expression.,Provides nucleotide precursors for DNA synthesis. It is not a replisome subunit or replication-specific activity readout.,Cloning and developmental expression of DmRNR1/DmRNR2.,Duronio RJ et al. (1994),https://pubmed.ncbi.nlm.nih.gov/8050359/
DNA replication,Orc1,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 1,"Orc1 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/
DNA replication,RPA1,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Replication protein A large subunit; RpA-70,Purified fly RPA binds single-stranded DNA through its large subunit and stimulates DNA polymerase alpha.,D. melanogaster embryo protein biochemistry.,RPA also functions in repair and replication stress. RPA1 is the former RpA-70 locus.,Purified dRP-A subunit and DNA-binding assays.,Marton RF et al. (1994),https://pubmed.ncbi.nlm.nih.gov/8143866/
DNA replication,Mcm7,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Mcm2–7 helicase subunit 7,Mcm7 is identified in the purified fly Cdc45–Mcm2–7–GINS complex.,D. melanogaster embryo protein purification.,This supports complex membership. The RNA-seq does not measure helicase activity.,"Purification, subunit identification and helicase assays.",Moyer SE et al. (2006),https://pubmed.ncbi.nlm.nih.gov/16798881/
DNA replication,Orc5,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 5,"Orc5 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/
DNA replication,PolA1,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,DNA polymerase alpha catalytic subunit,The intact fly alpha–primase preparation contains the catalytic polymerase polypeptide.,D. melanogaster embryo protein purification.,The historical paper uses molecular-weight/subunit terminology rather than the modern PolA1 symbol.,Purification and polymerase activity.,Kaguni LS et al. (1983),https://pubmed.ncbi.nlm.nih.gov/6403945/
DNA replication,RnrS,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Ribonucleotide reductase small subunit,The small RNR-subunit gene was cloned and examined in the fly G1/S expression program.,D. melanogaster developmental expression.,Provides nucleotide precursors for DNA synthesis. It is not a replisome subunit or replication-specific activity readout.,Cloning and developmental expression of DmRNR1/DmRNR2.,Duronio RJ et al. (1994),https://pubmed.ncbi.nlm.nih.gov/8050359/
DNA replication,Orc6,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 6,"Orc6 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/
DNA replication,RfC3,DNA replication/genome maintenance,false,Annotation support,Exact-gene experimental replication evidence not verified; annotation alone does not meet this figure revision criterion.,Replication factor C subunit 3,Current annotation assigns RfC3 to the RFC clamp-loader complex.,D. melanogaster gene CG5313; conserved-function annotation.,A primary fly assay establishing this subunit’s replication function was not verified. RfC4 mutant evidence cannot be transferred wholesale to RfC3.,Gene summary and inferred RFC-complex annotation.,NCBI Gene / FlyBase: RfC3,https://www.ncbi.nlm.nih.gov/gene/34423
DNA replication,Mcm10,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Replication-initiation-associated protein,Fly Mcm10 interacts with replication factors and its depletion reduces cellular DNA content.,D. melanogaster KC cells; RNAi and interaction assays.,Mcm10 is not one of the six Mcm2–7 helicase subunits.,Interaction assays and depletion/DNA-content results.,Christensen TW et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12808023/
DNA replication,Orc2,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Origin recognition complex subunit 2,"Orc2 is included in a reconstituted, replication-competent fly ORC.",D. melanogaster recombinant proteins and replication extracts.,Complex membership does not imply all subunits have identical catalytic roles.,"ORC cloning, reconstitution and replication-complementation assays.",Chesnokov I et al. (1999),https://pubmed.ncbi.nlm.nih.gov/10346817/
DNA replication,Prim1,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,Small catalytic DNA-primase subunit (50 kDa),Recombinant fly Prim1 synthesizes RNA primers.,D. melanogaster protein expressed and assayed biochemically.,Distinguish the catalytic Prim1 subunit from Prim2.,Functional analysis of the overexpressed 50-kDa primase.,Bakkenist CJ et al. (1994),https://pubmed.ncbi.nlm.nih.gov/7929411/
DNA replication,PolA2,DNA replication/genome maintenance,true,Supported,Retained with individual experimental publication support.,DNA polymerase alpha accessory subunit (73 kDa),The 73-kDa fly alpha–primase subunit was cloned from the purified enzyme.,D. melanogaster; cloning and protein characterization.,No catalytic activity was assigned to this accessory subunit in the cited study.,Cloning and characterization of the 73-kDa subunit.,Cotterill S et al. (1992),https://pubmed.ncbi.nlm.nih.gov/1508723/
Spargel,COX4,Mitochondrial/metabolic genes,true,Context-dependent,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Cytochrome-c oxidase subunit 4,COX4 is explicitly measured in a published spargel-overexpression study of mitochondrial gene expression.,D. melanogaster larvae/adults; mitochondrial-disease model.,The study reports limited overall transcriptional effects. Inclusion as a tested marker does not prove direct or universal Srl regulation.,qRT-PCR gene list and mitochondrial-expression analysis.,George J et al. (2019),https://pubmed.ncbi.nlm.nih.gov/31292108/
Spargel,ERR,Mitochondrial/metabolic genes,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Estrogen-related receptor; metabolic transcription factor,Fly ERR mutants establish a role in developmental carbohydrate metabolism.,D. melanogaster developmental genetic study.,A fly Srl–ERR interaction or Srl-dependent regulation of ERR was not verified. Mammalian PGC-1/ERR interactions are not sufficient.,Mutant metabolic and developmental phenotypes.,Tennessen JM et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21284981/
Spargel,Scox,Mitochondrial/metabolic genes,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Cytochrome-c oxidase assembly factor,Fly scox mutations affect cytochrome-c oxidase assembly/activity and energy-dependent processes.,D. melanogaster genetic and functional characterization.,Strong mitochondrial relevance does not establish Scox as a Srl-regulated target.,scox mutant COX-assembly and activity results.,Porcelli D et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20388558/
Spargel,mtTFB2,Mitochondrial/metabolic genes,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Mitochondrial transcription factor B2,Knockdown and overexpression alter mitochondrial transcripts and mtDNA copy number.,D. melanogaster Schneider cells.,"The experiment establishes mitochondrial function, not regulation by Srl.",RNAi and overexpression experiments.,Matsushima Y et al. (2004),https://pubmed.ncbi.nlm.nih.gov/15060065/
Spargel,ATPsynbeta,Mitochondrial/metabolic genes,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Mitochondrial ATP-synthase beta subunit,A fly muscle study uses ATPsynbeta RNAi to perturb mitochondrial energy function.,D. melanogaster adult muscle; host-pathogen metabolic study.,A specific Srl-dependent relationship was not verified. ATPsynbeta is not ATPsynF or blw/ATP-synthase alpha.,Muscle ATPsynbeta RNAi experiments and reagent table.,Zhao X et al. (2021),https://pubmed.ncbi.nlm.nih.gov/34710355/
Spargel,mRpL4,Mitochondrial/metabolic genes,true,Not verified,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Mitochondrial ribosomal protein L4,A primary fly study characterizes mRpL4 and an additional role in Notch signaling.,D. melanogaster wing development; genetic and physical interactions.,Mitochondrial-ribosome identity does not establish Srl regulation. Its extra-mitochondrial roles argue against an exclusive pathway assignment.,mRpL4 genetic and interaction experiments.,Mo D et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37009823/
Spargel,srl,Mitochondrial/metabolic genes,true,Supported,Retained for published mitochondrial/metabolic function under a broader heading; no Spargel-target claim.,Spargel; PGC-1-family transcriptional coactivator,"srl mutants alter mitochondrial gene expression and respiration, including insulin-responsive functions.",D. melanogaster larval fat body.,The regulator’s own transcript is not a direct readout of its activity. Effects differ by tissue and condition.,"Mutant, respiration and insulin-response experiments.",Tiefenböck SK et al. (2010),https://pubmed.ncbi.nlm.nih.gov/19910925/
AMPK,Sesn,AMPK-associated genes,true,Supported,Restored original member with experimental AMPK connection in a primary fly study.,Sestrin; AMPK–TOR feedback regulator,Fly Sestrin has experimental links to AMPK activation and TOR restraint. AMPK activation rescues dSesn phenotypes.,D. melanogaster; genetics and signaling.,Sesn is a supported pathway-associated original member. It need not be removed merely because it is not an AMPK subunit.,AMPK/TOR rescue and signaling experiments.,Lee JH et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20203043/
AMPK,FASN3,AMPK-associated genes,false,Not verified,Specific canonical AMPK relationship not verified.,Fatty-acid synthase isoform 3,Isoform-specific fly work places FASN3 in specialized fatty-acid/hydrocarbon metabolism.,D. melanogaster; oenocyte and lipid-metabolism experiments.,A specific canonical AMPK relationship was not verified. Evidence for FASN1 or mammalian FASN cannot be transferred automatically to this isoform.,Isoform-specific FASN perturbations in hydrocarbon/pheromone synthesis.,Wicker-Thomas C et al. (2015),https://pubmed.ncbi.nlm.nih.gov/26353752/
AMPK,Sirt1,AMPK-associated genes,false,Context-dependent,Indirect association retained in audit; not added to the focused panel.,Sir2/Sirt1; NAD-dependent deacetylase,"A fly exercise/Atg2 study reports coordinated AMPK, Sirt1 and PGC-1alpha expression changes.",Aging male D. melanogaster muscle.,"This supports a published context-specific association, not a demonstrated direct AMPK-to-Sirt1 regulatory edge.",Abstract and expression outcomes under Atg2/exercise interventions.,Wang JF et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37773768/
AMPK,Atg1,AMPK-associated genes,true,Supported,Retained with individual experimental publication support.,Autophagy-initiating kinase,Atg1 is necessary for key effects of neuronal AMPK upregulation and can reproduce those effects.,"Adult D. melanogaster brain, intestine and aging.",Functional downstream evidence. Do not infer a direct phosphorylation mechanism from this study alone.,Atg1 necessity/sufficiency and AMPK-induced autophagy.,Ulgherait M et al. (2014),https://pubmed.ncbi.nlm.nih.gov/25199830/
AMPK,bmm,AMPK-associated genes,false,Not verified,Specific canonical AMPK relationship not verified.,Brummer; triglyceride lipase,The strongest gene-specific fly evidence reviewed links bmm to SIK3–HDAC4–FOXO regulation.,D. melanogaster fat body.,SIK3 is AMPK-related but distinct from canonical AMPK. Direct canonical AMPK regulation of Bmm was not verified in this audit.,FOXO/bmm regulation in the SIK3 study.,Wang B et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21565616/
AMPK,Atg13,AMPK-associated genes,false,Context-dependent,Indirect association retained in audit; not added to the focused panel.,Atg1-complex autophagy regulator,"Atg13 forms a functional fly complex with Atg1, an experimentally supported AMPK effector.",D. melanogaster; autophagy genetics and protein interaction.,"The connection is indirect across two studies. The Atg13 paper establishes TOR/Atg1 regulation, not direct AMPK regulation.",Atg1–Atg13 complex experiments and independent AMPK–Atg1 study.,Chang YY et al. (2009); Ulgherait M et al. (2014),"https://pubmed.ncbi.nlm.nih.gov/19225150/
https://pubmed.ncbi.nlm.nih.gov/25199830/"
AMPK,Atg8a,AMPK-associated genes,true,Supported,Restored original member with experimental AMPK connection in a primary fly study.,Autophagy protein and reporter,Neuronal AMPK upregulation increases intestinal Atg8a transcript abundance.,Adult female D. melanogaster; tissue-specific AMPK induction.,Supports a downstream response in that context. It is neither an AMPK subunit nor proof of direct phosphorylation.,"Intestinal autophagy-gene expression panel, 10-day-old flies.",Ulgherait M et al. (2014),https://pubmed.ncbi.nlm.nih.gov/25199830/
AMPK,ACC,AMPK-associated genes,true,Supported,Retained with individual experimental publication support.,Acetyl-CoA carboxylase; Acc,Fly ACC phosphorylation at the conserved regulatory site increases during AMPK-activating energy stress.,D. melanogaster cultured cells; phosphospecific assays.,Protein phosphorylation supports the pathway relationship. ACC mRNA does not measure that phosphorylation state.,Energy-stress and DmACC phosphospecific assays.,Pan DA et al. (2002),https://pubmed.ncbi.nlm.nih.gov/12093363/
AMPK,SNF4Agamma,AMPK-associated genes,true,Supported,Retained with individual experimental publication support.,AMPK gamma subunit,Fly gamma-subunit disruption affects AMPK activity and developmental/stress-induced autophagy.,D. melanogaster cells and larval fat body.,"A structural/regulatory AMPK-complex component, not a downstream transcript target.",Subunit RNAi and SNF4Agamma mutant/autophagy experiments.,Pan DA et al. (2002); Lippai M et al. (2008),"https://pubmed.ncbi.nlm.nih.gov/12093363/
https://pubmed.ncbi.nlm.nih.gov/18285699/"
AMPK,alc,AMPK-associated genes,true,Supported,Retained with individual experimental publication support.,Alc/AMPK beta subunit,RNAi against the fly beta subunit abolishes measured AMPK activity.,D. melanogaster cultured cells.,Core-complex membership is well supported. Transcript abundance does not establish kinase activation.,RNAi of individual AMPK subunits.,Pan DA et al. (2002),https://pubmed.ncbi.nlm.nih.gov/12093363/
